Dis No,Year,Disaster Type
2016-0355-DOM,2016,Storm
2016-0184-DOM,2016,Flood
2016-0151-ECU,2016,Earthquake
2016-0032-ECU,2016,Flood
2016-0496-ESP,2016,Flood
2016-9495-FSM,2016,Drought
2016-0394-GHA,2016,Epidemic
2016-0212-GHA,2016,Flood
2016-0334-GRC,2016,Flood
2016-0318-GTM,2016,Landslide
2016-0284-GTM,2016,Storm
2016-0284-HND,2016,Storm
2016-0355-HTI,2016,Storm
2016-0404-HTI,2016,Epidemic
2016-0184-HTI,2016,Flood
2016-0019-IDN,2016,Earthquake
2016-0458-IDN,2016,Earthquake
2016-0475-IDN,2016,Earthquake
2016-0479-IDN,2016,Flood
2016-0156-IDN,2016,Landslide
2016-0057-IDN,2016,Flood
2016-0306-IDN,2016,Flood
2016-0234-IND,2016,Storm
2016-0237-IND,2016,Storm
2016-0002-IND,2016,Earthquake
2016-0239-IND,2016,Flood
2016-0267-IND,2016,Flood
2016-0049-IND,2016,Landslide
2016-0195-IND,2016,Landslide
2016-0133-IND,2016,Extreme temperature
2016-0187-IND,2016,Wildfire
2016-0271-IND,2016,Flood
2016-0276-IND,2016,Flood
2016-0304-IND,2016,Flood
2016-0391-IND,2016,Flood
2016-0442-ISR,2016,Wildfire
2016-0313-ITA,2016,Earthquake
2016-0357-ITA,2016,Earthquake
2016-0358-ITA,2016,Earthquake
2016-0453-ITA,2016,Flood
2016-0355-JAM,2016,Storm
2016-0107-JPN,2016,Earthquake
2016-0121-JPN,2016,Earthquake
2016-0492-JPN,2016,Earthquake
2016-0361-JPN,2016,Storm
2016-0023-JPN,2016,Extreme temperature
2016-0089-KEN,2016,Flood
2016-0341-KOR,2016,Earthquake
2016-0023-KOR,2016,Extreme temperature
2016-0316-LAO,2016,Flood
2016-0301-LBR,2016,Flood
2016-0333-MEX,2016,Flood
2016-0332-MEX,2016,Flood
2016-0335-MKD,2016,Earthquake
2016-0272-MLI,2016,Flood
2016-0189-MMR,2016,Storm
2016-0383-MMR,2016,Earthquake
2016-0224-MMR,2016,Landslide
2016-0444-MMR,2016,Epidemic
2016-0232-MMR,2016,Flood
2016-0369-MMR,2016,Flood
2016-0509-MNG,2016,Extreme temperature
2016-0248-MOZ,2016,Flood
2016-0129-MWI,2016,Flood
2016-0057-MYS,2016,Flood
2016-0307-MYS,2016,Flood
2016-0489-MYS,2016,Flood
2016-0516-MYS,2016,Flood
2016-0269-NER,2016,Flood
2016-0447-NER,2016,Epidemic
2016-0219-NER,2016,Flood
2016-0337-NGA,2016,Flood
2016-0433-NIC,2016,Storm
2016-0187-NPL,2016,Wildfire
2016-0275-NPL,2016,Flood
2016-0096-NZL,2016,Flood
2016-0120-OMN,2016,Flood
