Dis No,Country,Region,Continent,Location,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs,Insured Damages,Total Damages
2018-0002-ESP,Spain,Southern Europe,Europe,"Pays Basque, Deba, Mutriku",2.0,,,,,,,
2018-0002-CHE,Switzerland,Western Europe,Europe,"Fribourg (west), Bern (Lenk), Luzern, Zurich, Zug, Nidwalden, Schwyz, Pizol (Sankt Gallen)",,16.0,,,16.0,,16300.0,
2018-0025-DEU,Germany,Western Europe,Europe,"Nordrhein-Westfalen (Emmerich-Elten, Ratingen-Dusseldorf ), Saxe-Anhalt, Thuringen, Brandenburg (Cottbus), Mecklemburg-Vorpommem,",5.0,12.0,,,12.0,,,588475.0
2018-0350-AFG,Afghanistan,Southern Asia,Asia,Ghazi-Abad district (Kunar province),11.0,,,,,,,
2018-0189-AFG,Afghanistan,Southern Asia,Asia,khenj district (Panjshir),12.0,,,,,,,
2018-0242-AFG,Afghanistan,Southern Asia,Asia,"Peshghor (Khenj district, Panjshir)",10.0,,2750.0,,2750.0,,,
2018-0156-AFG,Afghanistan,Southern Asia,Asia,,72.0,,4000.0,,4000.0,,,
2018-0212-AFG,Afghanistan,Southern Asia,Asia,,18.0,,,,,,,
2018-0104-AGO,Angola,Middle Africa,Africa,"Luanda, Cuando Cubango, Cuanza Norte",8.0,,3000.0,,3000.0,,,
2018-0436-AGO,Angola,Middle Africa,Africa,Papelao (Uige province),2.0,,139.0,,139.0,,,
2018-9075-ARG,Argentina,South America,Americas,"Buenos Aires, Cordoba, Santa Fe, Pampa, Santiago del Estero provinces",,,,,,,,3400000.0
2018-0038-ARG,Argentina,South America,Americas,Chaco and Salta Province,,,17000.0,,17000.0,,,
2018-0074-ARG,Argentina,South America,Americas,"Santa Mónica, Tiro Federal, Ginés Benítez, Monseñor de Carlo, Santa Elena, Hipólito Yrigoyen, Sáenz Peña, Milenium, San José, Piñeiro, Nala, Pablo VI, Quinta Ocho (Chaco) -> all in Presidencia Roque Sáenz Peña",,,45000.0,,45000.0,,,
2018-0480-ARM,Armenia,Western Asia,Asia,Shirak region,,,9900.0,,9900.0,,,1822.0
2018-0459-AUS,Australia,Australia and New Zealand,Oceania,,,,,,,,,
2018-9258-AUS,Australia,Australia and New Zealand,Oceania,"New South Wales, Victoria , Queensland",,,,,,,,1200000.0
2018-0123-AUS,Australia,Australia and New Zealand,Oceania,"Ingham, Halifax, Innisfail (Northern Queensland)",,,600.0,,600.0,,,11400.0
2018-0065-BDI,Burundi,Eastern Africa,Africa,"Rugombo, Mpinga-Kayove, Bujumbura Mairie, Bujumbura Rural, Bururi, Ruyigi provinces",,,12000.0,,12000.0,,,
2018-0163-BDI,Burundi,Eastern Africa,Africa,Bujumbura,,,2576.0,,2576.0,,,
2018-0479-BDI,Burundi,Eastern Africa,Africa,"Gaharawe, Mushasha I, Mushasha II, Muyange I, Muyange II, Kinyinya I, Kinyinya II, Warubondo, Vugizo (Gatumba)",,,12956.0,,12956.0,,,
2018-0025-BEL,Belgium,Western Europe,Europe,Grez-Doiceau,1.0,,,,,,,
2018-0235-BEL,Belgium,Western Europe,Europe,,,,,,,,,
